CATALOGID,CATEGORY__C,DESCRIPTION,ID,IMAGEURL__C,ISNAVIGATIONAL,IS_DOCUMENT__C,IS_SITE__C,NAME,NUMBEROFPRODUCTS,PARENTCATEGORYID,PARENTCATEGORY.NAME,REDIRECT_PAGE__C,SORTORDER,WALTERB2BSTORE_LANGUAGE__C,WALTERB2BSTORE_LANGUAGE__R.NAME,WEBSITE_URL__C
0ZS7A0000008UY4WAM,,,0ZG7A0000008WV9WAM,,TRUE,FALSE,FALSE,Abrasives,0,0ZG7A0000008Vq5WAE,Products,,0,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVEWA2,,TRUE,FALSE,FALSE,Cleaning,0,0ZG7A0000008Vq5WAE,Products,,1,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVFWA2,,TRUE,FALSE,FALSE,Welding,0,0ZG7A0000008Vq5WAE,Products,,6,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVJWA2,,TRUE,FALSE,FALSE,Lubricant & Protectant,0,0ZG7A0000008Vq5WAE,Products,,2,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVOWA2,,TRUE,FALSE,FALSE,Power Tools,0,0ZG7A0000008Vq5WAE,Products,,3,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVPWA2,,TRUE,FALSE,FALSE,Shipbuilding,0,0ZG7A0000008WUuWAM,Industry,Shipbuilding__c,5,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVTWA2,,TRUE,FALSE,FALSE,PPE,0,0ZG7A0000008Vq5WAE,Products,,4,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVUWA2,,TRUE,FALSE,FALSE,Other,0,0ZG7A0000008Vq5WAE,Products,,7,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVYWA2,,TRUE,FALSE,FALSE,Tooling,0,0ZG7A0000008Vq5WAE,Products,,5,a1Z7A000001YcEfUAK,EN_CA,
0ZS7A0000008UY4WAM,,,0ZG7A0000008WVZWA2,,TRUE,FALSE,FALSE,Allegro,0,0ZG7A0000008WUzWAM,Brands,,1,a1Z7A000001YcEfUAK,EN_CA,
