DESCRIPTION__C,IMAGE__C,NAME,SEQUENCE__C,STORE__C,STORE__R.NAME,WALTERB2BSTORE_HISTORY_CHAPTER__R.NAME,YEAR__C,WALTERB2BSTORE_HISTORY_CHAPTER__C
"J. Walter Company founded
by Walter J. Somers in
Pointe-Claire (Quebec) Canada.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QMw9&d=%2Fa%2FO40000005PnN%2Fm0g0drr5_TOIdiVtQvbozQKUBVNA1oIZynv2yI1BzcY&asPdf=false,CH 1 - 1952,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 01,1952,a24O9000003YhNNIA0
"First 4 1/2"" vertical grinder
introduced by J. Walter
Company.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QMzN&d=%2Fa%2FO40000005Poz%2FmyFT7c0BASmEKKbz1jLUYKWp2mv_xwJp5n2riiQDtzs&asPdf=false,CH 1 - 1956,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 01,1956,a24O9000003YhNNIA0
"Introduction of the First
Jigsaw power tool",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000PSM5&d=%2Fa%2FO40000005FjB%2F3q7.mgJ7LjQs6OLOs0onwnaudQK1g2690Qx48TtijJM&asPdf=false,CH 1 - 1957,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 01,1957,a24O9000003YhNNIA0
"Introduction of Walter Machinery (1959-1984).
Introduction of High Performance Power Tools and the first cold saw
(metal cutting circular saw).",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QN0z&d=%2Fa%2FO40000005Pqb%2F5HQbgCkq61XaFXMrz5tCB_ad9xjJxJr8ta4RgfVXdEM&asPdf=false,CH 1 - 1959,4,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 01,1959,a24O9000003YhNNIA0
Launch of the Saw Blade Sharpening Service.,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QN2b&d=%2Fa%2FO40000005PsD%2FrNYyFgO8ZgpoRO6EN8ZV2vytE1gGajDBMpzlxqo3dhg&asPdf=false,CH 2 - 1960,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 02,1960,a24O9000003YhNOIA0
"First 7"" Angle Grinder
introduced to the market.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QN4D&d=%2Fa%2FO40000005Ptp%2FGDVCSvVp62IzdwZWKWsh7YxHS4bypxgJdgDMj.vmYLA&asPdf=false,CH 2 - 1962,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 02,1962,a24O9000003YhNOIA0
"First 4 1/2"" angle grinder
""MINI-GRINDER"".",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QN7R&d=%2Fa%2FO40000005PvR%2FkWnFz4IaXj_iZE0kzibYYDEqpN0e6lkORMLMeis.ZB4&asPdf=false,CH 2 - 1967,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 02,1967,a24O9000003YhNOIA0
"Introduction of the first flexible grinding wheels followed
by other unique high performance abrasives.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNAf&d=%2Fa%2FO40000005Px3%2FJLpPdPT6.Fnkynw0kOswlEgBVzDz7XxjmCDYLNG9A70&asPdf=false,CH 3 - 1973,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 03,1973,a24O9000003YhNPIA0
"Introduction to Walter's market leading ZIPCUT/ ZIPWHEEL
high performance cutting wheel.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNDt&d=%2Fa%2FO40000005Pyf%2F8I5PljvOjQ7iLsxBDbEn4GSGH_eJE9GFZaE0X6l3_j8&asPdf=false,CH 4 - 1986,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 04,1986,a24O9000003YhNQIA0
"Introduction of Walter’s popular Safety Seminars. Since its inception,
it has reached over 55,000 metal fabrication personnel in Canada.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNFV&d=%2Fa%2FO40000005Q0H%2F.WP1IrMO.5GVkXdrv0OD_oykr2zi4VOrKkptXqWMmdA&asPdf=false,CH 4 - 1987,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 04,1987,a24O9000003YhNQIA0
