ID,NAME,SEQUENCE__C,STORE__C,STORE__R.NAME,WALTERB2BSTORE_PRIVACY_POLICY__C,WALTERB2BSTORE_PRIVACY_POLICY__R.NAME
a34O4000000nldhIAA,1. COLLECTION OF PERSONAL INFORMATION,1,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nldiIAA,4. CONSENT,4,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nlgvIAA,2. USE OF PERSONAL INFORMATION,2,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nliXIAQ,3. DISCLOSURE OF PERSONAL INFORMATION,3,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nlk9IAA,5. INFORMATION YOU GIVE US OR PUBLICLY DISCLOSE,5,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nlx3IAA,6. AUTOMATICALLY GATHERED INFORMATION,6,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm0HIAQ,8. COOKIES,8,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm1tIAA,7. SECURITY AND RETENTION OF PERSONAL INFORMATION,7,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm3VIAQ,9. THIRD PARTY PRIVACY POLICIES AND LINKS,9,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm57IAA,10. CHANGES TO THIS PRIVACY POLICY,10,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm6jIAA,11. BUSINESS TRANSFER,11,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000nm8LIAQ,12. MISCELLANEOUS,12,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
a34O4000000xKE1IAM,2. COLLECTION OF PERSONAL INFORMATION,1,0ZEO9000002S0ojOAC,Walter-EN_CA,a2KO9000003Rx5VMAS,PRIVACY POLICY - WALTER SURFACE TECHNOLOGIES INC.
