"CATALOGID","CATALOG.NAME","ID","NAME","PRODUCTCATEGORYID","PRODUCTCATEGORY.NAME","PRODUCTID","PRODUCT.NAME","PRODUCTTOCATEGORY"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PBvWAM","00007175","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBpQAO","5/8"" x 1-1/4"" 1/4"" Shank Dia SL-5NF Taper Single Cut Carbide Burr - Made in the USA","01t6A000002MSBp0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PBwWAM","00007176","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBoQAO","1/2"" x 1-3/16"" 1/4"" Shank Dia SL-4NF Taper Single Cut Carbide Burr - Made in the USA","01t6A000002MSBo0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PBxWAM","00007177","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBnQAO","3/8"" x 1"" 1/4"" Shank Dia SL-3NF Taper Single Cut Carbide Burr - Made in the USA","01t6A000002MSBn0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC0WAM","00007178","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBmQAO","1/4"" x 5/8"" 1/4"" Shank Dia SL-1NF Taper Single Cut Carbide Burr - Made in the USA","01t6A000002MSBm0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC1WAM","00007179","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBSQA4","3/8"" x 3/4"" 1/4"" Shank Dia SL-2 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSBS0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC2WAM","00007180","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBRQA4","3/4"" x 1"" 1/4"" Shank Dia SE-7 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSBR0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC3WAM","00007181","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBOQA4","5/16"" x 1/2"" 1/4"" Shank Dia SE-2 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSBO0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC4WAM","00007182","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSBMQA4","5/16"" x 1/2"" 1/4"" Shank Dia SE-2 Oval/Egg Single Cut Carbide Burr - Made in the USA","01t6A000002MSBM0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC5WAM","00007183","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB7QAO","1/2"" x 1-3/16"" 1/4"" Shank Dia SL-4L6 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB70ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC6WAM","00007184","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB6QAO","3/8"" x 1"" 1/4"" Shank Dia SL-3L6 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB60ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC7WAM","00007185","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB5QAO","3/4"" x 1-1/2"" 1/4"" Shank Dia SL-7 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB50ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC8WAM","00007186","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB4QAO","5/8"" x 1-1/4"" 1/4"" Shank Dia SL-5 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB40ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PC9WAM","00007187","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB1QAO","1/4"" x 5/8"" 1/4"" Shank Dia SL-1 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB10ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCAWA2","00007188","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSB0QAO","1/8"" x 1/2"" 1/8"" Shank Dia SL-42 Taper Double Cut Carbide Burr - Made in the USA","01t6A000002MSB00ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCBWA2","00007189","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSAyQAO","5/8"" x 5/16"" 1/4"" Shank Dia SK-6 Cone Double Cut Carbide Burr - Made in the USA","01t6A000002MSAy0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCCWA2","00007190","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSAOQA4","5/8"" x 1"" 1/4"" Shank Dia SE-6 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAO0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCDWA2","00007191","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSANQA4","1/2"" x 7/8"" 1/4"" Shank Dia SE-5 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAN0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCEWA2","00007192","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSAMQA4","3/8"" x 5/8"" 1/4"" Shank Dia SE-3 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAM0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCFWA2","00007193","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSALQA4","1/4"" x 3/8"" 1/4"" Shank Dia SE-1 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAL0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCGWA2","00007194","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSAKQA4","1/4"" x 3/8"" 1/8"" Shank Dia SE-51 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAK0ZG7A0000008Vrr"
"0ZS7A0000008UZ2WAM","Walter-EN_US Catalog","0ZR7A0000004PCHWA2","00007195","0ZG7A0000008VrrWAE","Automotive Aftermarket","01t6A000002MSAJQA4","1/8"" x 1/4"" 1/8"" Shank Dia SE-41 Oval/Egg Double Cut Carbide Burr - Made in the USA","01t6A000002MSAJ0ZG7A0000008Vrr"
