ID,NAME,SITE_MAP_CATEGORY__C,SITE_MAP_CATEGORY__R.NAME,STORE__C,STORE__R.NAME
a2zO40000000a0HIAQ,ABRASIVES,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000a57IAA,WELDING,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000a6jIAA,TOOLING,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000a8LIAQ,POWER TOOLS,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000a9xIAA,MRO,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000aBZIAY,POWER BRUSHES,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000aDBIAY,ENVIRONMENTAL SOLUTIONS,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000aEnIAI,E-CATALOGS,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000aGPIAY,SHOPIFY,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000aOTIAY,BY INDUSTRY,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cJpIAI,SUPPORT,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cLRIAY,ABOUT US,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cN3IAI,AUTOMATION,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cOfIAI,NEWS & EVENTS,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cQHIAY,CAREERS,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000cRtIAI,MEDIA CENTER,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
a2zO40000000n5ZIAQ,Welding Test,a2VO9000000XxEDMA0,PRODUCTS CA,0ZEO9000002S0ojOAC,Walter-EN_CA
