ID,NAME,SITE_MAP_SUB_CATEGORY__R.NAME,SITE_MAP_SUB_CATEGORY__C,STORE__C,STORE__R.NAME,URL__C
a2sO4000000Z0OZIA0,Cutting Fluids,MRO,a2XO9000000KDxFMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/mro/cutting-fluids
a2sO4000000Z0QCIA0,Twist Drilling,TOOLING,a2XO9000000KDxDMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/tooling/twist-drilling
a2sO4000000Z0wSIAS,Finishing,ABRASIVES,a2XO9000000KDxBMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/finishing
a2sO4000000Z0wUIAS,Your Accessories,POWER BRUSHES,a2XO9000000KDxGMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/power-brushes/your-accessories
a2sO4000000Z0zhIAC,Finishing,POWER TOOLS,a2XO9000000KDxEMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/power-tools/finishing
a2sO4000000Z1J2IAK,PPE,WELDING,a2XO9000000KDxCMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/ppe
a2sO4000000Z1kQIAS,Cutting,ABRASIVES,a2XO9000000KDxBMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/abrasives/cutting
a2sO4000000Z1r3IAC,TRANSPORTATION,BY INDUSTRY,a2XO9000000KDxKMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/industry/transportation
a2sO4000000Z20aIAC,Your Accessories,WELDING,a2XO9000000KDxCMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/your-accessories
a2sO4000000Z25PIAS,Surfox Liquids,WELDING,a2XO9000000KDxCMAW,0ZEO9000002S0ojOAC,Walter-EN_CA,https://www.walter.com/en_CA/products/welding/surfox-liquids
